,Date,cost,rate,gal,miles,perMile,mileage,comment
156,T2013-08-04,30.52,3.459,8.823,205.4,0.15,23.3,
157,T2013-08-11,25.62,3.579,7.159,227.1,0.11,31.7,
158,T2013-08-12,37.48,3.799,9.867,372.3,0.1,37.7,
159,T2013-08-16,42.03,3.859,10.892,374.3,0.11,34.4,
160,T2013-08-18,19.24,3.699,5.202,200.3,0.1,38.5,
161,T2013-08-29,35.23,3.519,10.012,295.2,0.12,29.5,
162,T2013-09-09,38.67,3.519,10.99,295.3,0.13,26.9,
163,T2013-09-18,32.77,3.459,9.473,262.5,0.12,27.7,
164,T2013-10-01,35.51,3.279,10.831,268.3,0.13,24.8,
165,T2013-10-09,33.8,3.329,10.154,272.1,0.12,26.8,
166,T2013-10-22,36.15,3.299,10.958,263.9,0.14,24.1,
167,T2013-11-01,33.11,3.119,10.614,259.7,0.13,24.5,est
168,T2013-11-20,34.67,3.199,10.838,269.3,0.13,24.8,
169,T2013-11-23,38.37,3.599,10.662,371.7,0.1,34.9,
170,T2013-11-24,37.61,3.699,10.168,307.9,0.12,30.3,
171,T2013-11-27,31.47,3.619,8.697,271.8,0.12,31.3,
172,T2013-11-30,23.62,3.639,6.492,196.6,0.12,30.3,
173,T2013-12-04,35.34,3.359,10.522,355.8,0.1,33.8,
174,T2013-12-23,36.65,3.319,11.043,221.6,0.17,20.1,
175,T2014-01-06,36.63,3.299,11.103,279.1,0.13,25.1,
176,T2014-01-18,36.89,3.349,11.014,268.5,0.14,24.4,
177,T2014-01-26,31.36,3.299,9.506,275.7,0.11,29,
178,T2014-02-08,34.26,3.299,10.384,230.3,0.15,22.2,
179,T2014-02-19,34.74,3.359,10.341,237.7,0.15,23,
180,T2014-03-05,34.22,3.359,10.187,228.7,0.15,22.5,
181,T2014-03-18,37.16,3.499,10.619,269,0.14,25.3,
182,T2014-04-02,36.72,3.599,10.203,233.5,0.16,22.9,
183,T2014-04-14,39.98,3.639,10.987,284.1,0.14,25.9,
184,T2014-04-16,34.65,3.759,9.219,332,0.1,36,
185,T2014-04-19,27.59,3.799,7.263,242.3,0.11,33.4,
186,T2014-04-23,39.09,3.739,10.454,351.9,0.11,33.7,
187,T2014-05-01,41.01,3.739,10.967,260.5,0.16,23.8,
188,T2014-05-21,42.23,3.699,11.145,263.9,0.16,23.7,
189,T2014-05-30,33.24,3.369,9.867,276.6,0.12,28,
190,T2014-06-03,40.12,3.699,10.847,369.4,0.11,34.1,
191,T2014-06-20,40.6,3.699,10.976,240.2,0.17,21.9,
192,T2014-07-09,33.21,3.699,8.978,195.2,0.17,21.7,
193,T2014-07-11,37.43,3.779,9.904,352.6,0.11,35.6,
194,T2014-07-13,33.15,3.839,8.635,293.7,0.11,34,
195,T2014-07-14,25.21,3.819,6.6,245.6,0.1,37.2,
196,T2014-07-19,39.03,3.619,10.784,370,0.11,34.3,
197,T2014-07-31,40.06,3.579,11.194,298.2,0.13,26.6,
198,T2014-08-02,38.51,3.659,10.524,340.6,0.11,32.4,
199,T2014-08-05,35.28,3.639,9.695,367.3,0.1,37.9,
200,T2014-08-10,20.83,3.739,5.57,198.7,0.1,35.7,
201,T2014-08-14,37.9,3.459,10.956,367.2,0.1,33.5,
202,T2014-09-01,38.42,3.419,11.237,263.2,0.15,23.4,
203,T2014-09-18,36.73,3.379,10.869,248.5,0.15,22.9,
204,T2014-10-01,36.06,3.299,10.932,288.9,0.12,26.4,
205,T2014-10-09,25.15,3.199,7.862,201.8,0.12,25.7,
206,T2014-11-07,32.53,3.039,10.703,285.6,0.11,26.7,
207,T2014-11-16,24.92,2.539,9.815,285.8,0.09,29.1,
208,T2014-11-23,29.42,2.859,10.29,313.5,0.09,30.5,
209,T2014-12-05,30.87,2.839,10.873,310.5,0.1,28.6,
210,T2014-12-18,26.85,2.459,10.918,269.5,0.1,24.7,
211,T2014-12-26,10.32,2.259,4.568,98.6,0.1,21.6,
212,T2014-12-28,27.69,2.759,10.038,361.3,0.08,36,
213,T2015-01-01,19.49,2.699,7.22,219.1,0.09,30.3,
214,T2015-01-22,22.75,2.059,11.051,254.5,0.09,23.03,
215,T2015-02-05,23.27,2.159,10.776,243.8,0.1,22.62,
216,T2015-02-22,23.79,2.259,10.53,218.9,0.11,20.79,
217,T2015-03-13,25.25,2.359,10.703,250.4,0.1,23.4,
218,T2015-03-27,25.57,2.359,10.839,264,0.1,24.36,
219,T2015-04-16,26.28,2.429,10.82,246,0.11,22.74,
220,T2015-05-02,27.28,2.499,10.915,270.6,0.1,24.79,
221,T2015-05-14,27.16,2.599,10.449,293.3,0.09,28.07,
222,T2015-05-28,29.62,2.659,11.141,247.1,0.12,22.18,
223,T2015-06-11,29.75,2.699,11.023,264.3,0.11,23.98,
224,T2015-06-14,9.16,2.659,3.444,64.9,0.14,18.84,
225,T2015-06-16,30.71,2.879,10.666,405.3,0.08,38,
226,T2015-06-22,23.65,2.859,8.272,277.2,0.09,33.51,
227,T2015-06-24,26.97,2.899,9.3,310.1,0.09,33.34,
228,T2015-06-26,29.33,2.919,10.049,352.5,0.08,35.08,
229,T2015-06-28,25.63,2.699,9.496,346.6,0.07,36.5,
230,T2015-07-13,30.43,2.699,11.273,265.5,0.11,23.55,
231,T2015-07-26,22.09,2.659,8.306,213.4,0.1,25.69,
232,T2015-07-31,27.18,2.599,10.457,336.2,0.08,32.15,
233,T2015-08-06,27.31,2.559,10.674,340.2,0.08,31.87,
234,T2015-08-15,25.13,2.499,10.055,297.2,0.08,29.56,
235,T2015-08-18,26.26,2.559,10.261,376.6,0.07,36.7,
236,T2015-08-22,20.32,2.619,7.759,252.2,0.08,32.5,
237,T2015-08-28,25.86,2.399,10.778,388.4,0.07,36.04,
238,T2015-09-13,25.8,2.299,11.223,309,0.08,27.53,
239,T2015-09-30,24.4,2.259,10.8,253.1,0.1,23.44,
240,T2015-10-09,26.29,2.309,11.384,302.5,0.09,26.57,
241,T2015-10-21,23.34,2.159,10.811,304,0.08,28.12,
242,T2015-11-15,22.36,2.059,10.862,291.9,0.08,26.87,
243,T2015-12-02,21.32,1.999,10.666,284.1,0.08,26.64,
244,T2015-12-26,5.39,1.939,2.781,64.1,0.08,23.05,
245,T2015-12-27,20.36,2.099,9.702,328.2,0.06,33.83,
246,T2016-01-01,24.23,2.229,10.87,321,0.08,29.53,
247,T2016-01-02,17.26,2.099,8.222,256.9,0.07,31.25,
248,T2016-01-12,20.15,1.859,10.837,305.6,0.07,28.2,
249,T2016-03-26,10.57,2.059,5.132,171.4,0.06,33.4,
250,T2016-03-31,21.46,2.029,10.578,353.6,0.06,33.43,
251,T2016-04-14,22.16,2.089,10.608,270.4,0.08,25.49,
252,T2016-04-29,23.99,2.189,10.96,257.5,0.09,23.49,
253,T2016-04-29,23.99,2.189,10.96,257.5,0.09,23.49,
254,T2016-06-12,25.63,2.289,11.199,298,0.09,26.61,
255,T2016-06-15,25.179,2.289,11,385.7,0.07,35.06,
256,T2016-06-25,25.44,2.399,10.604,362.2,0.07,34.16,
257,T2016-06-26,17.01,2.399,7.09,237.5,0.07,33.5,
258,T2016-06-28,14.45,2.249,6.424,211.5,0.07,32.92,
259,T2016-06-28,24.23,2.399,10.098,351.5,0.07,34.81,
260,T2016-07-03,25.05,2.229,11.239,388.7,0.06,34.58,
261,T2016-08-09,21.35,2.239,9.537,337.4,0.06,35.38,
262,T2016-08-17,16.63,2.099,7.925,271.7,0.06,34.28,
263,T2016-09-07,23.28,2.049,11.362,363.5,0.06,31.99,
264,T2016-09-21,22.41,2.089,10.727,247.6,0.09,23.08,
265,T2016-10-01,25.76,2.299,11.207,298.6,0.09,26.64,
266,T2016-10-09,21.38,2.099,10.188,289.8,0.07,28.45,
267,T2016-10-19,23.33,2.149,10.857,276.5,0.08,25.47,
268,T2016-11-10,22.48,2.089,10.762,285.4,0.08,26.52,
269,T2016-11-23,20.96,1.989,10.54,263.3,0.08,24.98,
270,T2016-12-04,22.99,2.089,11.004,274.7,0.08,24.96,
271,T2016-12-19,23.76,2.189,10.854,238.8,0.1,22,
272,T2016-12-31,23.64,2.199,10.751,278,0.09,25.86,
273,T2017-01-11,22.66,2.249,10.075,263.9,0.09,26.19,
274,T2017-01-22,22.2,2.149,10.332,258.1,0.09,24.98,
275,T2017-01-29,18.58,2.129,8.726,208.9,0.09,23.94,
276,T2017-02-07,22.59,2.129,10.61,280.8,0.08,26.47,
277,T2017-02-16,22.01,2.129,10.336,258.3,0.09,24.99,
278,T2017-02-23,23.05,2.129,10.825,306.7,0.08,28.3,
279,T2017-03-17,22.05,2.089,10.555,240.9,0.09,22.82,
280,T2017-03-25,26.46,2.299,11.511,289.6,0.09,25.16,
281,T2017-04-09,12.17,2.249,5.412,135.4,0.09,25.02,
282,T2017-04-10,25.89,2.459,10.527,336.5,0.08,31.97,
283,T2017-04-16,26.73,2.499,10.698,315.2,0.08,29.46,
