Date,cost,rate,gal.,miles,perMile,mileage,comment
8/19/2017,26.08,2.419,10.782,333.2,0.08,30.9,
8/24/2017,23.88,2.249,10.619,390.3,0.06,36.75,
9/2/2017,28.44,2.659,10.695,333.9,0.09,31.22,
9/17/2017,28.03,2.599,10.785,294.3,0.1,27.29,
9/29/2017,26.21,2.489,10.532,263.6,0.1,25.03,
10/12/2017,22.34,2.389,9.351,234.4,0.1,25.07,
10/25/2017,25.2,2.349,10.726,275.7,0.09,25.7,
11/3/2017,17.77,2.289,7.762,194.4,0.09,25.05,
11/5/2017,21.92,2.559,8.565,315.3,0.07,36.81,
11/7/2017,18.78,2.699,6.959,248.1,0.08,35.65,
11/16/2017,22.05,2.299,9.591,289.6,0.08,30.19,
11/18/2017,19.57,2.559,7.648,242.5,0.08,31.71,
12/4/2017,24.96,2.289,10.906,305,0.08,27.97,
12/17/2017,27.29,2.459,11.097,255.7,0.11,23.04,
12/26/2017,14.02,2.219,6.318,181.9,0.08,28.79,
12/27/2017,27.81,2.629,10.58,338.8,0.08,32.02,
12/30/2017,22.88,2.559,8.94,268,0.09,29.98,
1/1/2018,5.91,2.539,2.328,39.3,0.15,16.88,
1/5/2018,31.2,2.759,11.307,346.3,0.09,30.63,
1/17/2018,25.32,2.329,10.872,290.4,0.09,26.71,
2/8/2018,24.58,2.449,10.036,232.2,0.11,23.14,
2/22/2018,24.6,2.329,10.564,258.9,0.1,24.51,
3/9/2018,25.24,2.299,10.977,279,0.09,25.42,
3/26/2018,10.16,2.459,4.132,102.5,0.1,24.81,
3/27/2018,25.31,2.799,9.043,315.8,0.08,34.92,
3/30/2018,14.41,2.699,5.338,172.5,0.08,32.32,
4/2/2018,25.53,2.459,10.382,346.8,0.07,33.4,
4/12/2018,27.87,2.539,10.976,326.6,0.09,29.76,
4/25/2018,29.06,2.659,10.93,254.2,0.11,23.26,
5/10/2018,26.76,2.759,9.7,240.8,0.11,24.82,
5/23/2018,29.67,2.859,10.378,271.5,0.11,26.16,
6/6/2018,24.54,2.839,8.643,208.8,0.12,24.16,
6/17/2018,22.95,2.839,8.084,187.4,0.12,23.18,
6/21/2018,29.87,2.799,10.672,314.1,0.1,29.43,
6/27/2018,27.33,2.759,9.904,327.9,0.08,33.11,
7/9/2018,29.77,2.759,10.791,256.7,0.12,23.79,
7/14/2018,18.66,2.739,6.813,155.9,0.12,22.88,
7/16/2018,29.03,2.969,9.779,349,0.08,35.69,
7/20/2018,19.5,2.929,6.657,245.7,0.08,36.91,
7/23/2018,31.01,2.789,11.118,379.5,0.08,34.13,
8/17/2018,21.49,2.699,7.964,185.3,0.12,23.27,
8/21/2018,28.38,2.699,10.516,355.8,0.08,33.83,
8/31/2018,29.63,2.739,10.817,314.5,0.09,29.07,
10/7/2018,29.1,2.689,10.821,300.3,0.1,27.75,
10/21/2018,26.65,2.689,9.911,269.3,0.1,27.17,
11/18/2018,28.11,2.699,10.415,264.5,0.11,25.4,
12/2/2018,26.32,2.429,10.837,259.6,0.1,23.95,
12/26/2018,24.55,2.259,10.866,275.1,0.09,25.32,
1/31/2019,22.6,2.059,10.977,274.8,0.08,25.03,
2/16/2019,22.49,2.059,10.921,248.8,0.09,22.78,
2/27/2019,23.27,2.179,10.678,313.3,0.07,29.34,
3/10/2019,16.44,2.259,7.276,185.9,0.09,25.55,
3/25/2019,24.27,2.499,9.71,289.7,0.08,29.84,
3/31/2019,23.24,2.419,9.607,298,0.08,31.02,
4/28/2019,12.53,2.659,4.714,130.5,0.1,27.68,
5/5/2019,23.82,2.599,9.165,265.3,0.09,28.95,
5/15/2019,23.79,2.699,8.814,265,0.09,30.07,
5/17/2019,20.05,2.659,7.54,245.6,0.08,32.57,
5/19/2019,22.98,2.559,8.982,345.9,0.07,38.51,
5/19/2019,24.42,2.559,9.544,331.2,0.07,34.7,
6/3/2019,28.43,2.699,10.535,291.5,0.1,27.67,
6/20/2019,21.45,2.599,8.255,215.3,0.1,26.08,
7/1/2019,29.83,2.599,11.479,322.3,0.09,28.08,
7/24/2019,26.43,2.659,9.938,236,0.11,23.75,
8/3/2019,22.24,2.599,8.556,201.7,0.11,23.57,
8/15/2019,26.47,2.559,10.342,361.9,0.07,34.99,
9/5/2019,25.92,2.399,10.805,252,0.1,23.32,
9/30/2019,26.98,2.399,11.246,296.7,0.09,26.38,
10/19/2019,24.92,2.339,10.656,282.7,0.09,26.53,
11/5/2019,23.15,2.299,10.068,250.4,0.09,24.87,
12/2/2019,30.51,2.799,10.899,273.3,0.11,25.08,
12/20/2019,26.06,2.359,11.046,268.8,0.1,24.33,
1/21/2020,26.05,2.399,10.858,246,0.11,22.66,
2/5/2020,25.15,2.359,10.66,259.7,0.1,24.36,
2/26/2020,23.34,2.259,10.333,231.5,0.1,22.4,
